0.10 0.10 4.9876390205890333e-07
0.10 0.15 7.4851741009628389e-07
0.10 0.20 9.9827091813366434e-07
0.10 0.25 1.2480244261710448e-06
0.10 0.30 1.4977779342084255e-06
0.10 0.35 1.7475314422458057e-06
0.10 0.40 1.9972849502831866e-06
0.10 0.45 2.2470384583205670e-06
0.10 0.50 2.4967919663579475e-06
0.10 0.55 2.7465454743953284e-06
0.10 0.60 2.9962989824327084e-06
0.10 0.65 3.2460524904700888e-06
0.10 0.70 3.4958059985074693e-06
0.10 0.75 3.7455595065448502e-06
0.10 0.80 3.9953130145822306e-06
0.10 0.85 4.2450665226196111e-06
0.10 0.90 4.4948200306569915e-06
0.10 0.95 4.7445735386943720e-06
0.10 1.00 4.9943270467317524e-06
0.10 1.05 5.2440805547691329e-06
0.10 1.10 5.4938340628065134e-06
0.10 1.15 5.7435875708438938e-06
0.10 1.20 5.9933410788812743e-06
0.10 1.25 6.2430945869186547e-06
0.10 1.30 6.4928480949560352e-06
0.10 1.35 6.7426016029934173e-06
0.10 1.40 6.9923551110307961e-06
0.10 1.45 7.2421086190681782e-06
0.10 1.50 7.4918621271055570e-06
0.10 1.55 7.7416156351429391e-06
0.10 1.60 7.9913691431803179e-06
0.10 1.65 8.2411226512177000e-06
0.10 1.70 8.4908761592550788e-06
0.10 1.75 8.7406296672924592e-06
0.10 1.80 8.9903831753298414e-06
0.10 1.85 9.2401366833672202e-06
0.10 1.90 9.4898901914046023e-06
0.10 1.95 9.7396436994419811e-06
0.10 2.00 9.9893972074793632e-06
0.15 0.10 7.4849891165214494e-07
0.15 0.15 1.1268558353621574e-06
0.15 0.20 1.5052127590721700e-06
0.15 0.25 1.8835696827821826e-06
0.15 0.30 2.2619266064921948e-06
0.15 0.35 2.6402835302022076e-06
0.15 0.40 3.0186404539122205e-06
0.15 0.45 3.3969973776222333e-06
0.15 0.50 3.7753543013322453e-06
0.15 0.55 4.1537112250422586e-06
0.15 0.60 4.5320681487522697e-06
0.15 0.65 4.9104250724622842e-06
0.15 0.70 5.2887819961722954e-06
0.15 0.75 5.6671389198823082e-06
0.15 0.80 6.0454958435923211e-06
0.15 0.85 6.4238527673023322e-06
0.15 0.90 6.8022096910123467e-06
0.15 0.95 7.1805666147223579e-06
0.15 1.00 7.5589235384323707e-06
0.15 1.05 7.9372804621423836e-06
0.15 1.10 8.3156373858523964e-06
0.15 1.15 8.6939943095624075e-06
0.15 1.20 9.0723512332724204e-06
0.15 1.25 9.4507081569824332e-06
0.15 1.30 9.8290650806924477e-06
0.15 1.35 1.0207422004402459e-05
0.15 1.40 1.0585778928112470e-05
0.15 1.45 1.0964135851822483e-05
0.15 1.50 1.1342492775532496e-05
0.15 1.55 1.1720849699242510e-05
0.15 1.60 1.2099206622952521e-05
0.15 1.65 1.2477563546662534e-05
0.15 1.70 1.2855920470372545e-05
0.15 1.75 1.3234277394082560e-05
0.15 1.80 1.3612634317792573e-05
0.15 1.85 1.3990991241502584e-05
0.15 1.90 1.4369348165212597e-05
0.15 1.95 1.4747705088922608e-05
0.15 2.00 1.5126062012632622e-05
0.20 0.10 9.9823392124538645e-07
0.20 0.15 1.5051942606280312e-06
0.20 0.20 2.0121546000106756e-06
0.20 0.25 2.5191149393933204e-06
0.20 0.30 3.0260752787759648e-06
0.20 0.35 3.5330356181586092e-06
0.20 0.40 4.0399959575412531e-06
0.20 0.45 4.5469562969238983e-06
0.20 0.50 5.0539166363065436e-06
0.20 0.55 5.5608769756891888e-06
0.20 0.60 6.0678373150718323e-06
0.20 0.65 6.5747976544544775e-06
0.20 0.70 7.0817579938371211e-06
0.20 0.75 7.5887183332197663e-06
0.20 0.80 8.0956786726024098e-06
0.20 0.85 8.6026390119850550e-06
0.20 0.90 9.1095993513677003e-06
0.20 0.95 9.6165596907503455e-06
0.20 1.00 1.0123520030132989e-05
0.20 1.05 1.0630480369515633e-05
0.20 1.10 1.1137440708898279e-05
0.20 1.15 1.1644401048280921e-05
0.20 1.20 1.2151361387663568e-05
0.20 1.25 1.2658321727046212e-05
0.20 1.30 1.3165282066428857e-05
0.20 1.35 1.3672242405811502e-05
0.20 1.40 1.4179202745194146e-05
0.20 1.45 1.4686163084576791e-05
0.20 1.50 1.5193123423959434e-05
0.20 1.55 1.5700083763342080e-05
0.20 1.60 1.6207044102724723e-05
0.20 1.65 1.6714004442107370e-05
0.20 1.70 1.7220964781490014e-05
0.20 1.75 1.7727925120872657e-05
0.20 1.80 1.8234885460255304e-05
0.20 1.85 1.8741845799637948e-05
0.20 1.90 1.9248806139020591e-05
0.20 1.95 1.9755766478403235e-05
0.20 2.00 2.0262726817785882e-05
0.25 0.10 1.2479689308386282e-06
0.25 0.15 1.8835326858939047e-06
0.25 0.20 2.5190964409491813e-06
0.25 0.25 3.1546601960044580e-06
0.25 0.30 3.7902239510597348e-06
0.25 0.35 4.4257877061150120e-06
0.25 0.40 5.0613514611702879e-06
0.25 0.45 5.6969152162255638e-06
0.25 0.50 6.3324789712808414e-06
0.25 0.55 6.9680427263361190e-06
0.25 0.60 7.6036064813913949e-06
0.25 0.65 8.2391702364466708e-06
0.25 0.70 8.8747339915019467e-06
0.25 0.75 9.5102977465572243e-06
0.25 0.80 1.0145861501612500e-05
0.25 0.85 1.0781425256667778e-05
0.25 0.90 1.1416989011723054e-05
0.25 0.95 1.2052552766778331e-05
0.25 1.00 1.2688116521833607e-05
0.25 1.05 1.3323680276888885e-05
0.25 1.10 1.3959244031944162e-05
0.25 1.15 1.4594807786999435e-05
0.25 1.20 1.5230371542054714e-05
0.25 1.25 1.5865935297109989e-05
0.25 1.30 1.6501499052165268e-05
0.25 1.35 1.7137062807220547e-05
0.25 1.40 1.7772626562275820e-05
0.25 1.45 1.8408190317331096e-05
0.25 1.50 1.9043754072386375e-05
0.25 1.55 1.9679317827441651e-05
0.25 1.60 2.0314881582496927e-05
0.25 1.65 2.0950445337552203e-05
0.25 1.70 2.1586009092607482e-05
0.25 1.75 2.2221572847662758e-05
0.25 1.80 2.2857136602718034e-05
0.25 1.85 2.3492700357773313e-05
0.25 1.90 2.4128264112828586e-05
0.25 1.95 2.4763827867883861e-05
0.25 2.00 2.5399391622939141e-05
0.30 0.10 1.4977039404318697e-06
0.30 0.15 2.2618711111597782e-06
0.30 0.20 3.0260382818876873e-06
0.30 0.25 3.7902054526155956e-06
0.30 0.30 4.5543726233435043e-06
0.30 0.35 5.3185397940714126e-06
0.30 0.40 6.0827069647993226e-06
0.30 0.45 6.8468741355272309e-06
0.30 0.50 7.6110413062551392e-06
0.30 0.55 8.3752084769830475e-06
0.30 0.60 9.1393756477109558e-06
0.30 0.65 9.9035428184388658e-06
0.30 0.70 1.0667709989166774e-05
0.30 0.75 1.1431877159894682e-05
0.30 0.80 1.2196044330622591e-05
0.30 0.85 1.2960211501350499e-05
0.30 0.90 1.3724378672078409e-05
0.30 0.95 1.4488545842806317e-05
0.30 1.00 1.5252713013534226e-05
0.30 1.05 1.6016880184262136e-05
0.30 1.10 1.6781047354990044e-05
0.30 1.15 1.7545214525717952e-05
0.30 1.20 1.8309381696445857e-05
0.30 1.25 1.9073548867173769e-05
0.30 1.30 1.9837716037901680e-05
0.30 1.35 2.0601883208629589e-05
0.30 1.40 2.1366050379357494e-05
0.30 1.45 2.2130217550085402e-05
0.30 1.50 2.2894384720813314e-05
0.30 1.55 2.3658551891541222e-05
0.30 1.60 2.4422719062269130e-05
0.30 1.65 2.5186886232997038e-05
0.30 1.70 2.5951053403724947e-05
0.30 1.75 2.6715220574452855e-05
0.30 1.80 2.7479387745180767e-05
0.30 1.85 2.8243554915908675e-05
0.30 1.90 2.9007722086636580e-05
0.30 1.95 2.9771889257364488e-05
0.30 2.00 3.0536056428092397e-05
0.35 0.10 1.7474389500251112e-06
0.35 0.15 2.6402095364256519e-06
0.35 0.20 3.5329801228261930e-06
0.35 0.25 4.4257507092267336e-06
0.35 0.30 5.3185212956272743e-06
0.35 0.35 6.2112918820278150e-06
0.35 0.40 7.1040624684283557e-06
0.35 0.45 7.9968330548288964e-06
0.35 0.50 8.8896036412294370e-06
0.35 0.55 9.7823742276299777e-06
0.35 0.60 1.0675144814030518e-05
0.35 0.65 1.1567915400431059e-05
0.35 0.70 1.2460685986831600e-05
0.35 0.75 1.3353456573232140e-05
0.35 0.80 1.4246227159632681e-05
0.35 0.85 1.5138997746033222e-05
0.35 0.90 1.6031768332433764e-05
0.35 0.95 1.6924538918834301e-05
0.35 1.00 1.7817309505234846e-05
0.35 1.05 1.8710080091635386e-05
0.35 1.10 1.9602850678035927e-05
0.35 1.15 2.0495621264436464e-05
0.35 1.20 2.1388391850837005e-05
0.35 1.25 2.2281162437237549e-05
0.35 1.30 2.3173933023638090e-05
0.35 1.35 2.4066703610038634e-05
0.35 1.40 2.4959474196439168e-05
