% Model,full_model_no_growth_realistic_mesh.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 1 2023, 19:01"
% Dimension,3
% Nodes,733
% Expressions,101
% Description,Dependent variable Tcell
% Length unit,m
% x,y,z,Tc (1) @ t=0,Tc (1) @ t=0.04,Tc (1) @ t=0.08,Tc (1) @ t=0.12,Tc (1) @ t=0.16,Tc (1) @ t=0.2,Tc (1) @ t=0.24,Tc (1) @ t=0.28,Tc (1) @ t=0.32,Tc (1) @ t=0.36,Tc (1) @ t=0.4,Tc (1) @ t=0.44,Tc (1) @ t=0.48,Tc (1) @ t=0.52,Tc (1) @ t=0.56,Tc (1) @ t=0.6,Tc (1) @ t=0.64,Tc (1) @ t=0.68,Tc (1) @ t=0.72,Tc (1) @ t=0.76,Tc (1) @ t=0.8,Tc (1) @ t=0.84,Tc (1) @ t=0.88,Tc (1) @ t=0.92,Tc (1) @ t=0.96,Tc (1) @ t=1,Tc (1) @ t=1.04,Tc (1) @ t=1.08,Tc (1) @ t=1.12,Tc (1) @ t=1.16,Tc (1) @ t=1.2,Tc (1) @ t=1.24,Tc (1) @ t=1.28,Tc (1) @ t=1.32,Tc (1) @ t=1.36,Tc (1) @ t=1.4,Tc (1) @ t=1.44,Tc (1) @ t=1.48,Tc (1) @ t=1.52,Tc (1) @ t=1.56,Tc (1) @ t=1.6,Tc (1) @ t=1.64,Tc (1) @ t=1.68,Tc (1) @ t=1.72,Tc (1) @ t=1.76,Tc (1) @ t=1.8,Tc (1) @ t=1.84,Tc (1) @ t=1.88,Tc (1) @ t=1.92,Tc (1) @ t=1.96,Tc (1) @ t=2,Tc (1) @ t=2.04,Tc (1) @ t=2.08,Tc (1) @ t=2.12,Tc (1) @ t=2.16,Tc (1) @ t=2.2,Tc (1) @ t=2.24,Tc (1) @ t=2.28,Tc (1) @ t=2.32,Tc (1) @ t=2.36,Tc (1) @ t=2.4,Tc (1) @ t=2.44,Tc (1) @ t=2.48,Tc (1) @ t=2.52,Tc (1) @ t=2.56,Tc (1) @ t=2.6,Tc (1) @ t=2.64,Tc (1) @ t=2.68,Tc (1) @ t=2.72,Tc (1) @ t=2.76,Tc (1) @ t=2.8,Tc (1) @ t=2.84,Tc (1) @ t=2.88,Tc (1) @ t=2.92,Tc (1) @ t=2.96,Tc (1) @ t=3,Tc (1) @ t=3.04,Tc (1) @ t=3.08,Tc (1) @ t=3.12,Tc (1) @ t=3.16,Tc (1) @ t=3.2,Tc (1) @ t=3.24,Tc (1) @ t=3.28,Tc (1) @ t=3.32,Tc (1) @ t=3.36,Tc (1) @ t=3.4,Tc (1) @ t=3.44,Tc (1) @ t=3.48,Tc (1) @ t=3.52,Tc (1) @ t=3.56,Tc (1) @ t=3.6,Tc (1) @ t=3.64,Tc (1) @ t=3.68,Tc (1) @ t=3.72,Tc (1) @ t=3.76,Tc (1) @ t=3.8,Tc (1) @ t=3.84,Tc (1) @ t=3.88,Tc (1) @ t=3.92,Tc (1) @ t=3.96,Tc (1) @ t=4
1.3530435176394124E-4,1.3618285246934928E-4,0,1,1.000000031481085,1.0000000910306306,1.000000150586136,1.000000206659142,1.0000002658979952,1.0000003268671593,1.0000003889272053,1.0000004517509793,1.0000005151474307,1.0000005789926865,1.0000006432002402,1.0000007077064978,1.0000007724629592,1.0000008374316005,1.0000009025819547,1.0000009678891781,1.000001033332713,1.000001098895344,1.000001164562505,1.000001230321766,1.0000012961624398,1.0000013620752823,1.0000014280522527,1.0000014940863242,1.0000015601713328,1.000001626301851,1.0000016924730861,1.0000017586807934,1.000001824921207,1.0000018911909756,1.0000019574871144,1.0000020238069594,1.0000020901481292,1.0000021565084936,1.0000022228861432,1.0000022892793667,1.0000023556866278,1.0000024221065462,1.000002488537881,1.0000025549795168,1.0000026214304496,1.000002687889774,1.0000027543566763,1.000002820830422,1.0000028873103486,1.0000029537958595,1.000003020286416,1.0000030867815324,1.0000031532807696,1.0000032197837316,1.000003286290061,1.0000033527994345,1.0000034193115606,1.0000034858261753,1.0000035523430406,1.0000036188619414,1.0000036853826832,1.0000037519050904,1.0000038184290034,1.000003884954279,1.0000039514807872,1.000004018008411,1.0000040845370441,1.00000415106659,1.0000042175969626,1.0000042841280827,1.00000435065988,1.0000044171922897,1.0000044837252542,1.000004550258721,1.0000046167926422,1.0000046833269751,1.0000047498616809,1.0000048163967241,1.0000048829320736,1.0000049494677,1.0000050160035774,1.0000050825396825,1.0000051490759938,1.0000052156124923,1.0000052821491605,1.0000053486859826,1.0000054152229443,1.000005481757866,1.0000055482921926,1.0000056148265104,1.0000056813610456,1.0000057478958744,1.00000581443101,1.0000058809664416,1.000005947502148,1.000006014038107,1.000006080574296,1.0000061471106934,1.0000062136472796,1.000006280184037,1.000006346720949,1.000006413258001,1.0000064797951802,1.0000065463324745
1.1716622073515738E-4,1.0565182063563194E-4,1.3486770415202734E-4,1,1.0000000314882453,1.000000091035418,1.0000001505929548,1.0000002066712201,1.0000002659107,1.000000326878977,1.000000388937705,1.000000451760098,1.000000515155227,1.0000005789992559,1.0000006432056892,1.0000007077109336,1.0000007724664874,1.000000837434323,1.0000009025839702,1.000000967890579,1.000001033333588,1.0000010988957755,1.0000011645625695,1.0000012303215329,1.0000012961619735,1.0000013620746406,1.0000014280514877,1.0000014940854836,1.0000015601704586,1.000001626300981,1.0000016924722532,1.0000017586800274,1.000001824920533,1.0000018911904167,1.000001957486691,1.0000020238066887,1.000002090148027,1.000002156508573,1.0000022228864165,1.0000022892798441,1.0000023556873179,1.0000024221074568,1.0000024885390195,1.000002554980889,1.0000026214320605,1.0000026878916286,1.0000027543587782,1.0000028208327745,1.0000028873129552,1.000002953798723,1.0000030202895385,1.0000030867849161,1.0000031532844162,1.000003219787643,1.0000032862942387,1.0000033528038796,1.0000034193162741,1.0000034858311586,1.0000035523482949,1.000003618867467,1.0000036853884808,1.0000037519111609,1.0000038184353477,1.0000038849608974,1.0000039514876802,1.000004018015579,1.0000040845444873,1.000004151074309,1.0000042176049575,1.0000042841363541,1.000004350668428,1.0000044172011149,1.0000044837343567,1.0000045502681008,1.0000046168022996,1.0000046833369103,1.0000047498718938,1.0000048164072155,1.0000048829428427,1.0000049494787477,1.0000050160149037,1.0000050825512876,1.0000051490878779,1.0000052156246555,1.0000052821616026,1.0000053486987035,1.000005415235944,1.0000054817711466,1.0000055483057537,1.0000056148403518,1.0000056813751668,1.0000057479102749,1.0000058144456903,1.0000058809814014,1.0000059475173881,1.000006014053627,1.000006080590096,1.0000061471267734,1.0000062136636396,1.0000062802006768,1.0000063467378688,1.0000064132752011,1.0000064798126607,1.0000065463502352
0,0,0,1,1.0000000314690423,1.0000000910267597,1.000000150586229,1.0000002066561762,1.0000002658965583,1.0000003268685709,1.0000003889316682,1.0000004517583485,1.000000515157475,1.0000005790051698,1.0000006432149446,1.0000007077232227,1.0000007724815188,1.0000008374518206,1.0000009026036707,1.0000009679122326,1.0000010333569567,1.0000010989206347,1.000001164588708,1.0000012303487538,1.0000012961900933,1.0000013621034902,1.0000014280809113,1.0000014941153388,1.0000015602006165,1.0000016263313247,1.0000016925026778,1.0000017587104382,1.0000018249508462,1.0000018912205575,1.0000019575165926,1.000002023836293,1.0000020901772821,1.0000021565374342,1.0000022229148438,1.0000022893078029,1.0000023557147788,1.0000024221343937,1.0000024885654093,1.0000025550067126,1.000002621457301,1.0000026879162716,1.0000027543828116,1.0000028208561877,1.0000028873357394,1.0000029538208701,1.0000030203110424,1.0000030868057708,1.0000031533046174,1.0000032198071866,1.0000032863131212,1.0000033528220984,1.0000034193338267,1.0000034858480429,1.000003552364509,1.00000361888301,1.0000036854033516,1.0000037519253577,1.00000381844887,1.0000038849737445,1.0000039514998518,1.0000040180270742,1.0000040845553058,1.0000041510844504,1.0000042176144213,1.0000042841451398,1.0000043506765355,1.0000044172085438,1.0000044837411068,1.000004550274172,1.0000046168076915,1.0000046833416227,1.0000047498759264,1.000004816410568,1.0000048829455153,1.00000494948074,1.0000050160162155,1.000005082551919,1.0000051490878283,1.0000052156239247,1.000005282160191,1.0000053486966114,1.000005415233171,1.0000054817676858,1.0000055483016044,1.0000056148355145,1.0000056813696434,1.0000057479040665,1.0000058144387978,1.000005880973825,1.0000059475091279,1.0000060140446831,1.0000060805804682,1.0000061471164619,1.0000062136526442,1.0000062801889975,1.0000063467255056,1.0000064132621538,1.0000064797989292,1.0000065463358199
2.1900038977268373E-4,0,0,1,1.000000031482968,1.0000000910348776,1.000000150596144,1.0000002066734832,1.0000002659137244,1.0000003268832454,1.000000388943291,1.0000004517669463,1.0000005151632478,1.0000005790083537,1.0000006432157698,1.0000007077219062,1.0000007724782638,1.0000008374468186,1.0000009025971028,1.00000096790427,1.0000010333477622,1.0000010989103612,1.0000011645774993,1.000001230336744,1.0000012961774074,1.000001362090243,1.0000014280672087,1.0000014941012774,1.0000015601862833,1.0000016263167981,1.0000016924880284,1.0000017586957297,1.0000018249361347,1.0000018912058923,1.0000019575020178,1.0000020238218468,1.000002090162998,1.0000021565233408,1.0000022229009664,1.0000022892941636,1.0000023557013955,1.0000024221212824,1.0000024885525838,1.0000025549941842,1.0000026214450795,1.0000026879043653,1.000002754371227,1.0000028208449305,1.0000028873248141,1.000002953810281,1.0000030203007926,1.0000030867958627,1.000003153295053,1.000003219797968,1.0000032863042492,1.0000033528135739,1.000003419325651,1.0000034858402167,1.000003552357033,1.0000036188758843,1.0000036853965764,1.0000037519189338,1.000003818442797,1.000003884968023,1.0000039514944816,1.0000040180220557,1.0000040845506393,1.0000041510801356,1.0000042176104584,1.0000042841415293,1.0000043506732768,1.000004417205637,1.000004483738552,1.0000045502719692,1.000004616805841,1.0000046833401246,1.000004749874781,1.0000048164097755,1.000004882945076,1.0000049494806535,1.0000050160164822,1.0000050825525384,1.0000051490888011,1.000005215625251,1.0000052821618706,1.0000053486986438,1.000005415235557,1.00000548177043,1.0000055483047074,1.0000056148389755,1.0000056813734615,1.000005747908241,1.000005814443328,1.0000058809787107,1.0000059475143688,1.0000060140502793,1.0000060805864197,1.0000061471227686,1.0000062136593064,1.000006280196015,1.0000063467328786,1.0000064132698823,1.0000064798070132,1.0000065463442593
0,1.3861171884676577E-4,1.3916836577730046E-4,1,1.000000031479246,1.000000091031728,1.0000001505907263,1.000000206664956,1.0000002659047678,1.000000326874742,1.0000003889354978,1.0000004517599068,1.0000005151569347,1.0000005790027173,1.0000006432107553,1.0000007077174593,1.0000007724743314,1.0000008374433493,1.0000009025940484,1.000000967901585,1.0000010333454044,1.0000010989082917,1.0000011645756821,1.0000012303351469,1.0000012961760005,1.000001362089,1.0000014280661065,1.0000014941002948,1.0000015601854024,1.000001626316003,1.0000016924873052,1.0000017586950658,1.0000018249355194,1.000001891205317,1.000001957501474,1.0000020238213279,1.000002090162498,1.0000021565228547,1.0000022229004903,1.0000022892936935,1.0000023557009285,1.0000024221208157,1.0000024885521155,1.000002554993712,1.0000026214446014,1.0000026879038797,1.0000027543707328,1.0000028208444267,1.0000028873242992,1.0000029538097543,1.0000030203002535,1.0000030867953105,1.000003153294487,1.0000032197973876,1.0000032863036539,1.0000033528129637,1.0000034193250251,1.0000034858395748,1.0000035523563744,1.000003618875209,1.0000036853958842,1.0000037519182243,1.00000381844207,1.0000038849672783,1.0000039514937191,1.0000040180212746,1.000004084549839,1.0000041510793163,1.0000042176096202,1.0000042841406718,1.0000043506724,1.0000044172047406,1.000004483737636,1.0000045502710335,1.0000046168048853,1.000004683339149,1.000004749873785,1.0000048164087587,1.0000048829440387,1.0000049494795957,1.0000050160154037,1.0000050825514393,1.000005149087681,1.0000052156241097,1.0000052821607082,1.0000053486974607,1.000005415234353,1.0000054817692041,1.00000554830346,1.0000056148377068,1.0000056813721712,1.0000057479069293,1.000005814441995,1.0000058809773564,1.0000059475129932,1.0000060140488827,1.0000060805850017,1.000006147121329,1.0000062136578454,1.0000062801945324,1.0000063467313745,1.0000064132683566,1.000006479805466,1.0000065463426904
0,2.1934220054020958E-4,0,1,1.0000000314788906,1.000000091028866,1.0000001505838014,1.0000002066566844,1.0000002658960112,1.0000003268658086,1.0000003889264866,1.0000004517508363,1.0000005151477944,1.000000578993489,1.0000006432014223,1.000000707708009,1.0000007724647582,1.0000008374336529,1.000000902584232,1.0000009678916562,1.000001033335372,1.0000010988981662,1.0000011645654743,1.000001230324867,1.0000012961656586,1.000001362078605,1.0000014280556653,1.000001494089814,1.0000015601748868,1.0000016263054565,1.0000016924767305,1.000001758684465,1.000001824924893,1.0000018911946649,1.000001957490796,1.0000020238106224,1.0000020901517641,1.0000021565120907,1.0000022228896936,1.0000022892828622,1.0000023556900601,1.000002422109908,1.0000024885411656,1.000002554982718,1.000002621433561,1.0000026878927906,1.0000027543595928,1.0000028208332339,1.000002887313052,1.0000029537984507,1.0000030202888914,1.0000030867838887,1.0000031532830038,1.0000032197858415,1.0000032862920438,1.0000033528012888,1.0000034193132843,1.0000034858277669,1.0000035523444988,1.0000036188632644,1.00000368538387,1.00000375190614,1.000003818429915,1.0000038849550519,1.0000039514814207,1.0000040180089043,1.0000040845373963,1.000004151066801,1.0000042175970316,1.0000042841280097,1.0000043506596643,1.0000044171919313,1.0000044837247526,1.0000045502580757,1.000004616791853,1.0000046833260419,1.0000047498606037,1.0000048163955029,1.000004882930708,1.00000494946619,1.0000050160019232,1.0000050825378834,1.0000051490740505,1.0000052156104045,1.000005282146928,1.0000053486836056,1.0000054152204223,1.0000054817551993,1.000005548289381,1.000005614823554,1.0000056813579448,1.0000057478926285,1.0000058144276196,1.0000058809629062,1.000005947498468,1.0000060140342821,1.0000060805703261,1.0000061471065786,1.00000621364302,1.0000062801796321,1.000006346716399,1.0000064132533066,1.0000064797903412,1.0000065463274905
0,0,2.193422005402647E-4,1,1.0000000314875561,1.0000000910370384,1.0000001505980531,1.0000002066773714,1.0000002659173641,1.0000003268859252,1.0000003889448315,1.0000004517673502,1.0000005151625753,1.0000005790066824,1.0000006432131807,1.000000707718478,1.0000007724740725,1.0000008374419351,1.000000902591594,1.0000009678981978,1.0000010333411844,1.000001098903331,1.000001164570065,1.00000123032895,1.0000012961692937,1.0000013620818458,1.0000014280585603,1.0000014940924071,1.000001560177217,1.00000162630756,1.000001692478639,1.0000017586862076,1.000001824926496,1.0000018911961521,1.0000019574921888,1.0000020238119405,1.0000020901530247,1.0000021565133095,1.0000022228908854,1.0000022892840392,1.0000023556912345,1.00000242211109,1.0000024885423648,1.0000025549839429,1.0000026214348194,1.0000026878940897,1.000002754360939,1.0000028208346332,1.0000028873145095,1.0000029537999708,1.0000030202904788,1.000003086785547,1.0000031532847367,1.0000032197876516,1.0000032862939343,1.000003352803262,1.0000034193153424,1.000003485829912,1.0000035523467325,1.000003618865589,1.0000036853862868,1.0000037519086502,1.0000038184325202,1.000003884957753,1.0000039514842187,1.0000040180118002,1.000004084540391,1.0000041510698952,1.0000042176002262,1.000004284131305,1.0000043506630611,1.00000441719543,1.000004483728354,1.0000045502617803,1.000004616795661,1.0000046833299538,1.0000047498646194,1.0000048163996227,1.0000048829349322,1.000004949470519,1.000005016006357,1.0000050825424225,1.000005149078695,1.0000052156151542,1.0000052821517835,1.0000053486885665,1.0000054152254896,1.0000054817603738,1.0000055482946626,1.000005614828942,1.0000056813634388,1.0000057478982292,1.0000058144333264,1.00000588096872,1.0000059475043885,1.0000060140403093,1.0000060805764601,1.0000061471128194,1.0000062136493677,1.000006280186087,1.0000063467229612,1.0000064132599755,1.0000064797971169,1.0000065463343732
0,9.742431928872277E-5,2.8517578148462867E-4,1,1.0000000314469202,1.000000091012194,1.0000001505664828,1.000000206624521,1.0000002658651068,1.000000326841149,1.0000003889091948,1.0000004517407577,1.000000515144394,1.0000005789961537,1.0000006432095516,1.0000007077210389,1.0000007724821627,1.0000008374549416,1.0000009026089471,1.0000009679193684,1.0000010333656806,1.000001098930696,1.0000011645998759,1.0000012303608152,1.000001296202852,1.0000013621167643,1.000001428094534,1.000001494129156,1.000001560214485,1.0000016263451128,1.0000016925162645,1.0000017587237116,1.0000018249637037,1.0000018912329043,1.0000019575283419,1.0000020238473646,1.0000020901876037,1.0000021565469381,1.000002222923469,1.000002289315494,1.0000023557214839,1.000002422140067,1.0000024885700087,1.0000025550101996,1.0000026214596405,1.0000026879174324,1.0000027543827652,1.0000028208549083,1.0000028873332036,1.0000029538170574,1.0000030203059338,1.0000030867993497,1.0000031532968683,1.0000032197980961,1.0000032863026773,1.0000033528102905,1.0000034193206455,1.0000034858334796,1.0000035523485564,1.0000036188656614,1.000003685384601,1.0000037519052005,1.0000038184273012,1.0000038849507606,1.0000039514754488,1.0000040180012495,1.0000040845280567,1.0000041510557744,1.0000042175843167,1.0000042841136054,1.0000043506435696,1.0000044171741453,1.0000044837052746,1.0000045502369053,1.0000046167689896,1.0000046833014848,1.0000047498343527,1.0000048163675577,1.0000048829010684,1.0000049494348557,1.000005015968894,1.0000050825031597,1.0000051490376316,1.0000052155722905,1.0000052821071193,1.0000053486421019,1.0000054151772237,1.0000054817102946,1.0000055482427685,1.000005614775234,1.0000056813079188,1.0000057478408984,1.0000058143741861,1.0000058809077705,1.0000059474416305,1.0000060139757432,1.000006080510086,1.0000061470446377,1.0000062135793786,1.0000062801142908,1.0000063466493578,1.0000064131845656,1.0000064797199009,1.0000065462553516
1.5286831569035297E-4,0,1.470148522130543E-4,1,1.0000000314885829,1.0000000910397207,1.0000001506044933,1.0000002066871807,1.0000002659284792,1.0000003268976352,1.0000003889568927,1.0000004517796803,1.0000005151751492,1.000000579019494,1.0000006432262303,1.0000007077317692,1.0000007724876099,1.0000008374557245,1.0000009026056411,1.0000009679125097,1.0000010333557674,1.000001098918192,1.0000011645852114,1.000001230344389,1.0000012961850326,1.0000013620978918,1.0000014280749205,1.0000014941090876,1.0000015601942245,1.0000016263248999,1.0000016924963169,1.0000017587042285,1.0000018249448648,1.000001891214873,1.0000019575112655,1.000002023831376,1.000002090172822,1.0000021565334714,1.0000022229114138,1.0000022893049365,1.0000023557125022,1.00000242213273,1.0000024885643786,1.0000025550063314,1.0000026214575835,1.0000026879172303,1.000002754384457,1.0000028208585283,1.0000028873387825,1.000002953824622,1.0000030203155081,1.0000030868109548,1.0000031533105236,1.0000032198138176,1.0000032863204793,1.0000033528301855,1.0000034193426448,1.0000034858575935,1.0000035523747932,1.0000036188940284,1.000003685415105,1.0000037519378469,1.000003818462095,1.000003884987706,1.0000039515145505,1.00000401804251,1.0000040845714788,1.000004151101361,1.00000421763207,1.0000042841635266,1.0000043506956604,1.0000044172284068,1.000004483761708,1.0000045502955113,1.0000046168297692,1.000004683364439,1.0000047498994817,1.000004816434862,1.0000048829705486,1.0000049495065122,1.000005016042727,1.0000050825791693,1.000005149115818,1.0000052156526538,1.0000052821896595,1.0000053487268192,1.0000054152641185,1.0000054817993795,1.0000055483340455,1.000005614868702,1.0000056814035758,1.000005747938743,1.0000058144742174,1.0000058810099877,1.0000059475460332,1.0000060140823313,1.000006080618859,1.000006147155595,1.00000621369252,1.0000062802296161,1.000006346766867,1.0000064133042579,1.0000064798417758,1.0000065463794088
2.4080517873384288E-4,9.05088393215525E-5,8.202511043640473E-5,1,1.000000031485576,1.0000000910460058,1.0000001506242782,1.0000002067153972,1.0000002659612677,1.0000003269334081,1.0000003889948823,1.0000004518194499,1.0000005152164197,1.0000005790620743,1.0000006432699844,1.0000007077765944,1.0000007725334261,1.000000837502463,1.0000009026532408,1.0000009679609125,1.0000010334049168,1.000001098968031,1.0000011646356826,1.0000012303954342,1.000001296236594,1.0000013621499115,1.0000014281273422,1.000001494161856,1.0000015602472865,1.0000016263782043,1.0000016925498159,1.0000017587578764,1.000001824998619,1.0000018912686937,1.0000019575651165,1.0000020238852236,1.0000020902266356,1.000002156587223,1.0000022229650787,1.0000022893584921,1.0000023557659283,1.0000024221860084,1.0000024886174936,1.0000025550592684,1.0000026215103304,1.0000026879697756,1.000002754436791,1.0000028209106433,1.0000028873906708,1.0000029538762776,1.0000030203669257,1.0000030868621297,1.0000031533614522,1.0000032198644964,1.0000032863709059,1.000003352880358,1.0000034193925613,1.0000034859072524,1.000003552424193,1.000003618943169,1.0000036854639853,1.0000037519864666,1.0000038185104538,1.0000038850358037,1.0000039515623869,1.0000040180900858,1.000004084618794,1.000004151148416,1.0000042176788642,1.000004284210061,1.000004350741935,1.0000044172744222,1.0000044838074644,1.0000045503410093,1.0000046168750094,1.0000046834094214,1.0000047499442066,1.00000481647933,1.0000048830147599,1.000004949550467,1.0000050160864258,1.0000050826226126,1.0000051491590058,1.0000052156955865,1.0000052822323373,1.0000053487692422,1.000005415306287,1.0000054818412887,1.0000055483756929,1.0000056149100873,1.0000056814446998,1.0000057479796067,1.0000058145148218,1.000005881050334,1.0000059475861223,1.0000060141221634,1.0000060806584348,1.0000061471949149,1.0000062137315842,1.0000062802684246,1.00000634680542,1.000006413342556,1.000006479879819,1.0000065464171972
